City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
58,Trat,TH,2021-03-27 22:56:03,12.5,102.5,82.0,99,95,1.61,moderate rain
59,Henties Bay,NA,2021-03-27 22:56:03,-22.116,14.2845,62.01,93,3,5.64,clear sky
60,Kazachinskoye,RU,2021-03-27 22:56:04,57.6953,93.2761,27.86,97,100,4.59,light snow
61,Barra Do Garcas,BR,2021-03-27 22:56:04,-15.89,-52.2567,75.54,64,3,2.77,clear sky
62,Saint-Francois,FR,2021-03-27 22:56:05,46.4154,3.9054,37.99,87,0,2.3,clear sky
63,Cape Town,ZA,2021-03-27 22:56:05,-33.9258,18.4232,63.0,63,0,6.91,clear sky
64,Margate,GB,2021-03-27 22:56:05,51.3813,1.3862,46.99,77,100,4.0,overcast clouds
65,Port Hardy,CA,2021-03-27 22:56:04,50.6996,-127.4199,50.0,71,90,20.71,moderate rain
66,Eyl,SO,2021-03-27 22:56:06,7.9803,49.8164,77.77,81,83,11.5,broken clouds
67,Tiksi,RU,2021-03-27 22:56:06,71.6872,128.8694,6.42,97,100,3.58,overcast clouds
68,Karlskrona,SE,2021-03-27 22:56:07,56.1616,15.5866,37.4,100,75,8.05,broken clouds
69,Bafra,TR,2021-03-27 22:51:22,41.5678,35.9069,46.0,87,20,3.44,few clouds
70,Bandarbeyla,SO,2021-03-27 22:56:07,9.4942,50.8122,78.19,80,24,10.45,few clouds
71,Santiago Del Estero,AR,2021-03-27 22:56:08,-27.7951,-64.2615,66.76,42,0,6.42,clear sky
72,Bredasdorp,ZA,2021-03-27 22:56:08,-34.5322,20.0403,55.4,76,29,5.75,scattered clouds
73,Mehamn,NO,2021-03-27 22:56:08,71.0357,27.8492,33.69,86,100,10.58,overcast clouds
74,Bluff,NZ,2021-03-27 22:56:09,-46.6,168.3333,59.0,92,100,4.0,overcast clouds
75,Ngunguru,NZ,2021-03-27 22:56:09,-35.6167,174.5,68.0,87,99,5.01,overcast clouds
76,Masakin,TN,2021-03-27 22:56:09,35.7292,10.5808,66.0,42,0,13.8,clear sky
77,Hami,CN,2021-03-27 22:56:10,42.8,93.45,52.21,57,100,8.7,overcast clouds
78,Ponta Do Sol,PT,2021-03-27 22:56:10,32.6667,-17.1,64.4,88,75,14.97,broken clouds
79,Krasnoselkup,RU,2021-03-27 22:56:10,65.7,82.4667,6.31,97,93,7.14,overcast clouds
80,Foster City,US,2021-03-27 22:56:11,37.5586,-122.2711,77.0,20,1,11.5,clear sky
81,Arrecife,ES,2021-03-27 22:56:11,28.963,-13.5477,66.2,88,40,3.44,scattered clouds
